symbol,entryTimestampUtc,closeTime,distanceFromEma200H1Pct,slPct,fvgGapSizePct,waitedCandlesCount,breaksKeyZone,atrH1Pct,hourOfDayUtc,dayOfWeekUtc,trendAgeH1Candles,atrPercentileH1,momentumM15Pct3Candles,keyZoneDistancePct,rollingWinRateSameSymbol20,concurrentOpenPositionsCount,won
ETHUSDT,1756911600000,1756955700000,0.815953397692566,0.7340859999955015,0.22027075321359707,1,false,0.973445271548978,15,3,0,76,1.3206714280863427,0.15512070098758546,,0,false
HYPEUSDT,1757004300000,1757007000000,-1.0973820246867119,0.5383848454636139,0.18167719065027305,1,true,0.9668675025650825,16,4,3,19,-0.5154525142136674,0.06785199955688617,,0,false
ETHUSDT,1757060100000,1757075400000,0.12172654977453824,0.6131746919853469,0.36151044223939904,2,false,0.8493700100995933,8,5,0,34,1.5095289447614448,1.1534640724953387,,0,true
SOLUSDT,1757111400000,1757176200000,-0.7260945508505402,0.6193167854509802,0.009830425165879486,2,false,1.1231510750445397,22,5,0,66,-0.9561442021562067,0.799541246825605,,0,true
HYPEUSDT,1757193300000,1757205000000,0.21585044483707733,0.5149577778262608,0.14183159135045,1,false,0.9329926146773326,21,6,0,13,0.7508756567425646,0.46695323921535653,,0,true
XRPUSDT,1757260800000,1757268000000,2.0104189956446845,0.571408782379822,0.09004017176894853,1,false,0.5375385237700926,16,0,2,32,0.4715836194042732,0.09696633882808185,,0,false
XRPUSDT,1757304000000,1757318400000,1.4801959850154645,0.5353914615491461,0.09386733416772246,5,false,0.6463860536814575,4,1,14,55.00000000000001,0.16671876628112656,0.36156306494231094,,0,true
HYPEUSDT,1757320200000,1757322000000,7.973654462353921,0.5962470337208597,0.5164815442598767,1,false,1.0310748791474178,8,1,35,80,1.0320391256612498,2.3550760763355822,,0,true
HYPEUSDT,1757383200000,1757386800000,8.652040275374276,0.5009392611145903,0.16632748904195532,1,false,1.1648206034392197,2,2,53,84,0.7703163589321429,0.2768863494051359,,0,false
XRPUSDT,1757403900000,1757405700000,5.117785259018199,0.5005172011078155,0.3603723847976142,2,false,0.7642760826039586,7,2,42,87,0.64209751856062,0.441789849511181,,0,true
HYPEUSDT,1757410200000,1757418300000,14.504865251405032,0.6853571167483004,0.01827618977995104,1,false,1.4469254236455975,9,2,60,99,0.09303852889666306,6.3427516631332725,,0,false
HYPEUSDT,1757471400000,1757473200000,9.8789226026581,0.5870217554388643,1.0840210052513184,1,false,1.6027061112483816,2,3,77,87,1.7511416386760716,1.5932108027006735,,1,true
HYPEUSDT,1757480400000,1757483100000,11.55936882888651,0.5480973983890368,0.33515415239329205,1,true,1.6171785118583002,5,3,80,90,0.9668123082643918,0.304601425793902,,1,true
ETHUSDT,1757430000000,1757507400000,-0.9882604397911187,0.5490057823042487,0.14983427772224148,1,false,0.7282678281529148,15,2,4,81,-1.267203682393565,0.20383279116463804,,0,false
SOLUSDT,1757514600000,1757516400000,7.006004163040501,0.5118680920456584,0.7383583982605524,7,false,1.0392066316601718,14,3,65,99,1.6443334090392934,1.5020082140484374,,0,true
HYPEUSDT,1757563200000,1757571300000,12.237280777478619,0.5133267522211278,0.188459122318939,1,false,1.3735861959662776,4,4,103,55.00000000000001,0.6086142322097395,0.28358610787042693,,0,false
HYPEUSDT,1757593800000,1757595600000,6.463519302934344,0.8205740288319965,0.45504559780682896,1,false,1.3736277090776745,12,4,111,53,0.6971238979291363,0.463437832192611,,0,true
HYPEUSDT,1757598300000,1757612700000,8.499429697340002,0.871041559016759,0.033217686572674175,1,false,1.481584981540955,13,4,113,64,-0.1325991270557519,0.03414040008858616,,0,true
HYPEUSDT,1757620800000,1757629800000,10.008152697078142,0.7716077269195316,0.31081154339616573,1,false,1.3762358127773302,20,4,119,49,1.3367281985996171,0.8590686495961265,,0,true
SOLUSDT,1757728800000,1757736000000,9.991514082404155,0.5474679606818554,0.024884907303709448,10,false,0.9756119284695911,2,6,125,87,-0.2478519497686809,0.19493177387913005,,0,true
HYPEUSDT,1757764800000,1757768400000,7.266536313099962,0.536011006092666,0.4252353981668415,1,false,1.0841162443668977,12,6,159,3,0.7422378022606938,0.04824099054832839,,0,true
XRPUSDT,1757821500000,1757824200000,3.2282461235343654,0.5099735330191736,0.0742366535407646,8,false,0.7640536907442963,3,0,158,78,-0.22511657822801467,0.2832289716609637,,0,false
SOLUSDT,1757872800000,1757876400000,8.949525809428994,0.8131396901169103,0.06472753752174303,1,false,0.970844322926611,18,0,165,92,1.0284454964698242,0.3762288118451421,,0,false
HYPEUSDT,1757872800000,1757876400000,3.322927263719149,0.6495288628670826,0.05488976305919154,1,false,1.1957555223823766,18,0,189,28.999999999999996,-0.15688849970812468,0.2860366541639905,,1,false
HYPEUSDT,1757917800000,1757922300000,1.67990539512354,0.7425511669993772,0.24067613201739754,19,true,1.0185408704684895,6,1,201,1,0.08560847151658474,0.04539885694385754,,0,false
HYPEUSDT,1757956500000,1757962800000,-1.5420499401024501,0.5583091209479938,0.5545110997170505,1,false,1.3212865104709388,17,1,4,72,-0.7231248102034623,0.6029358704115205,,0,false
HYPEUSDT,1758078000000,1758081600000,2.7882459615623345,0.6136209145523619,0.21311385056309762,1,false,1.0204197658829322,3,3,13,12,1.1450593837431253,0.3646818908342724,,0,false
SOLUSDT,1758142800000,1758148200000,2.533040456656559,1.3816706806946304,0.14788524105295253,6,false,1.1917743359935662,21,3,240,88,1.9554030874785602,0.22273328142259208,,0,true
HYPEUSDT,1758168000000,1758176100000,9.56062987791916,0.7918667620312717,0.19413507714314435,4,false,1.4458595044997202,4,4,38,98,0.7005164391266577,2.1874254964068003,,0,false
HYPEUSDT,1758314700000,1758324600000,2.046754547181056,0.5146927871772066,0.008904719501340263,2,false,1.180376551350286,20,5,79,52,-0.1368621247400602,0.363312555654498,,1,false
HYPEUSDT,1758384900000,1758386700000,0.8161534240510717,0.6183024786495277,0.46055375242515595,6,false,0.9318204165234786,16,6,98,5,0.09749404203076847,0.6146760711500997,,1,true
HYPEUSDT,1758470400000,1758473100000,-5.1507061148871935,0.6315789473684178,0.030622009569374616,2,false,1.0425614906184644,16,0,22,24,-0.811278095491421,0.024880382775102426,,1,true
HYPEUSDT,1758499200000,1758501000000,-6.840269545566588,0.7026763990267584,0.10121654501216468,3,false,1.2278116521071378,0,1,30,46,-0.18672683420212505,0.2520681265206816,0.5,1,true
ETHUSDT,1758295800000,1758501900000,-0.759263831595907,0.9116886651245042,0.332597944629486,1,false,0.6456119474204358,15,5,5,10,-1.549309762637795,0.3488313849487209,,0,true
