symbol,entryTime,direction,R_sl,outcome,MFE_R,MAE_R,barsToMFE,barsToOutcome
XRPUSDT,2026-07-01T15:00:00.000Z,SHORT,0.00620000,SL,0.0000,1.7903,0,1
XRPUSDT,2026-07-05T22:45:00.000Z,LONG,0.00600000,TP,2.6000,0.0000,1,1
XRPUSDT,2026-07-07T15:15:00.000Z,LONG,0.00900000,TP,1.7444,0.0000,1,1
XRPUSDT,2026-07-08T09:30:00.000Z,SHORT,0.00710000,SL,0.4366,1.3239,2,8
XRPUSDT,2026-07-08T15:30:00.000Z,SHORT,0.00570000,SL,0.4035,1.0702,1,3
XRPUSDT,2026-07-15T13:45:00.000Z,LONG,0.00590000,TP,2.9153,0.0000,1,1
XRPUSDT,2026-07-16T15:45:00.000Z,LONG,0.00610000,SL,0.4754,1.6557,1,5
XRPUSDT,2026-07-20T16:15:00.000Z,LONG,0.00740000,TP,1.5676,0.2432,42,42
XRPUSDT,2026-07-27T15:00:00.000Z,SHORT,0.01140000,TP,1.5877,0.0000,29,29
XRPUSDT,2026-07-27T23:15:00.000Z,SHORT,0.00960000,TP,1.7187,0.0000,7,7
XRPUSDT,2026-07-29T21:15:00.000Z,SHORT,0.00570000,SL,0.2281,1.0175,1,3
XRPUSDT,2026-08-06T16:30:00.000Z,SHORT,0.00560000,TP,1.5893,0.0357,4,4
XRPUSDT,2026-08-20T12:00:00.000Z,LONG,0.01180000,TP,1.8475,0.0000,1,1
XRPUSDT,2026-08-20T18:30:00.000Z,LONG,0.01130000,SL,0.9558,1.9558,1,1
XRPUSDT,2026-08-21T02:00:00.000Z,LONG,0.01260000,TP,1.6587,0.0000,1,1
XRPUSDT,2026-08-21T04:15:00.000Z,LONG,0.01750000,TP,2.7200,0.2914,15,15
XRPUSDT,2026-08-21T07:30:00.000Z,LONG,0.00800000,TP,1.9750,0.0000,1,1
XRPUSDT,2026-08-21T13:15:00.000Z,LONG,0.00990000,TP,4.6869,0.0000,1,1
XRPUSDT,2026-08-21T22:00:00.000Z,LONG,0.01430000,TP,3.1329,0.0000,1,1
XRPUSDT,2026-08-22T12:30:00.000Z,LONG,0.01230000,TP,2.2033,0.0000,1,1
XRPUSDT,2026-08-22T20:00:00.000Z,LONG,0.01270000,SL,1.2047,1.4567,1,4
XRPUSDT,2026-08-23T02:15:00.000Z,LONG,0.00850000,TP,2.9529,0.0000,1,1
