openTime,open,high,low,close,volume
1756109700000,4589.47,4609.99,4588.00,4600.37,104681.373
1756110600000,4600.38,4613.64,4588.72,4597.55,77107.920
1756111500000,4597.56,4611.25,4594.53,4597.74,45601.078
1756112400000,4597.74,4602.00,4568.07,4591.01,102735.382
1756113300000,4591.00,4606.97,4582.57,4583.35,61804.050
1756114200000,4583.36,4608.00,4579.54,4603.15,50970.465
1756115100000,4603.14,4612.95,4597.38,4611.14,46547.559
1756116000000,4611.13,4611.14,4590.00,4600.40,40210.338
1756116900000,4600.41,4602.68,4527.25,4551.19,238535.469
1756117800000,4551.19,4555.00,4518.00,4541.65,161538.299
1756118700000,4541.64,4560.00,4533.25,4542.72,77755.376
1756119600000,4542.72,4557.07,4542.00,4555.99,44523.930
1756120500000,4555.99,4573.97,4551.28,4566.66,77019.395
1756121400000,4566.65,4598.00,4566.65,4583.21,98925.084
1756122300000,4583.21,4599.00,4583.00,4598.00,62021.294
1756123200000,4597.99,4609.69,4583.27,4604.54,99753.124
1756124100000,4604.54,4622.00,4597.43,4619.91,88401.275
1756125000000,4619.92,4635.00,4602.00,4632.66,89862.699
1756125900000,4632.67,4644.99,4624.21,4644.83,92951.412
1756126800000,4644.84,4644.84,4632.00,4635.30,60067.009
1756127700000,4635.31,4661.39,4619.07,4651.64,118162.970
1756128600000,4651.64,4656.50,4612.03,4622.60,190083.457
1756129500000,4622.58,4642.96,4590.52,4627.81,240475.109
1756130400000,4627.81,4674.00,4617.23,4662.06,184151.539
1756131300000,4662.06,4683.26,4644.37,4646.70,125046.114
1756132200000,4646.70,4667.74,4632.30,4640.03,75844.312
1756133100000,4640.02,4661.43,4638.56,4657.57,49204.917
1756134000000,4657.57,4667.38,4625.31,4633.00,75078.653
1756134900000,4633.00,4646.78,4623.00,4629.99,72860.427
1756135800000,4630.00,4637.67,4611.00,4626.71,71645.172
1756136700000,4626.68,4626.68,4603.76,4610.31,66123.489
1756137600000,4610.31,4632.45,4590.02,4630.38,135496.346
1756138500000,4630.39,4644.71,4616.66,4617.33,75700.660
1756139400000,4617.33,4631.91,4607.47,4620.48,36793.252
1756140300000,4620.47,4625.64,4593.56,4593.78,47569.333
1756141200000,4593.78,4598.91,4565.00,4581.01,139584.556
1756142100000,4581.01,4597.46,4562.42,4590.53,77457.538
1756143000000,4590.53,4597.63,4572.60,4577.43,38247.348
1756143900000,4577.43,4597.63,4570.50,4585.23,42519.385
1756144800000,4585.22,4595.51,4572.00,4591.23,39480.060
1756145700000,4591.24,4593.56,4577.00,4582.86,30216.660
1756146600000,4582.86,4585.90,4568.85,4574.21,59313.890
1756147500000,4574.21,4579.41,4569.00,4572.93,27876.522
1756148400000,4572.94,4576.32,4552.98,4555.41,146693.846
1756149300000,4555.42,4556.42,4504.42,4522.18,268480.430
1756150200000,4522.18,4522.50,4450.00,4465.57,262714.303
1756151100000,4465.57,4477.35,4413.03,4418.75,206848.312
1756152000000,4418.77,4444.20,4376.31,4398.18,364757.646
1756152900000,4398.17,4421.75,4384.28,4405.72,145115.291
1756153800000,4405.71,4407.50,4331.15,4370.33,402805.610
1756154700000,4370.33,4384.00,4335.43,4349.10,155664.248
1756155600000,4349.10,4375.96,4336.90,4349.82,140474.902
1756156500000,4349.82,4378.61,4349.13,4354.94,90041.551
1756157400000,4354.94,4384.23,4341.03,4359.81,85804.058
1756158300000,4359.81,4385.23,4346.32,4348.11,63635.170
1756159200000,4348.11,4370.52,4348.11,4362.76,60957.361
1756160100000,4362.76,4391.19,4353.39,4388.94,62188.068
1756161000000,4388.94,4414.78,4384.08,4413.44,89757.370
1756161900000,4413.44,4413.44,4381.93,4390.31,58732.133
1756162800000,4390.30,4390.30,4362.12,4372.46,73384.655
1756163700000,4372.46,4383.43,4351.90,4363.24,63192.995
1756164600000,4363.24,4382.92,4359.10,4382.92,30450.337
1756165500000,4382.92,4388.78,4368.29,4374.25,51091.590
1756166400000,4374.25,4381.52,4342.36,4362.69,114014.028
1756167300000,4362.68,4384.89,4359.00,4379.38,69352.509
1756168200000,4379.37,4393.18,4346.01,4346.65,100738.415
1756169100000,4346.65,4370.73,4318.01,4329.79,178095.146
1756170000000,4329.79,4365.00,4310.00,4349.40,134213.019
1756170900000,4349.40,4386.43,4342.91,4385.43,70256.587
1756171800000,4385.42,4395.13,4370.82,4388.43,66561.921
1756172700000,4388.43,4421.29,4387.46,4418.83,121596.540
1756173600000,4418.83,4449.55,4413.58,4441.96,108501.304
1756174500000,4441.96,4444.40,4405.93,4420.99,72332.130
1756175400000,4421.00,4424.76,4394.83,4403.35,75349.205
1756176300000,4403.35,4416.54,4386.64,4394.51,55172.245
1756177200000,4394.50,4396.36,4380.66,4381.68,44396.374
1756178100000,4381.67,4403.99,4372.00,4389.30,77184.254
1756179000000,4389.29,4406.26,4388.41,4406.26,43198.875
1756179900000,4406.26,4406.26,4392.81,4400.50,23132.331
1756180800000,4400.52,4433.68,4400.52,4430.35,73910.561
1756181700000,4430.36,4439.43,4416.42,4423.27,44481.856
1756182600000,4423.28,4438.90,4423.28,4427.49,39541.907
1756183500000,4427.48,4440.51,4421.50,4432.33,29559.300
1756184400000,4432.33,4446.47,4430.40,4443.29,30836.143
1756185300000,4443.28,4444.75,4422.66,4426.07,34356.306
1756186200000,4426.08,4441.99,4419.20,4441.94,32420.635
1756187100000,4441.94,4443.00,4428.00,4428.18,22154.731
1756188000000,4428.18,4440.00,4416.60,4433.14,43664.402
1756188900000,4433.13,4437.52,4404.03,4418.94,60160.923
1756189800000,4418.94,4431.86,4412.83,4417.00,30208.600
1756190700000,4417.01,4424.35,4403.71,4412.37,41349.912
1756191600000,4412.32,4424.05,4401.45,4407.27,49775.471
1756192500000,4407.26,4415.00,4391.61,4404.57,49250.512
1756193400000,4404.57,4453.78,4401.08,4425.37,120925.221
1756194300000,4425.36,4431.47,4417.24,4427.16,50174.451
1756195200000,4427.15,4435.99,4419.31,4432.56,29495.439
1756196100000,4432.55,4444.57,4406.05,4409.92,57263.980
1756197000000,4409.92,4416.66,4403.00,4416.21,33896.134
1756197900000,4416.21,4428.84,4411.75,4418.00,38875.156
1756198800000,4418.01,4427.90,4411.99,4422.61,23685.193
1756199700000,4422.61,4439.99,4422.60,4435.33,37607.630
1756200600000,4435.33,4436.00,4406.00,4408.60,34450.910
1756201500000,4408.60,4418.73,4407.09,4417.85,32305.181
1756202400000,4417.85,4430.00,4417.85,4429.43,25527.254
1756203300000,4429.44,4432.67,4416.02,4420.54,23735.633
1756204200000,4420.54,4443.47,4420.53,4442.47,32534.594
1756205100000,4442.48,4448.69,4429.85,4438.98,54275.412
1756206000000,4438.98,4465.00,4433.71,4442.75,93914.985
1756206900000,4442.75,4442.75,4413.22,4419.44,60566.552
1756207800000,4419.44,4419.87,4405.85,4415.68,40859.206
1756208700000,4415.69,4426.03,4407.93,4425.57,29555.191
1756209600000,4425.57,4426.45,4403.01,4408.72,40558.259
1756210500000,4408.73,4421.00,4407.28,4417.21,19163.324
1756211400000,4417.20,4535.56,4417.05,4508.26,419330.293
1756212300000,4508.26,4535.43,4455.01,4494.85,315144.151
1756213200000,4494.86,4496.49,4470.00,4478.15,99927.928
1756214100000,4478.15,4491.64,4470.73,4480.00,62963.546
1756215000000,4480.01,4518.00,4471.02,4482.40,192741.494
1756215900000,4482.40,4490.96,4433.83,4478.42,249391.415
1756216800000,4478.43,4485.91,4450.08,4464.71,99035.518
1756217700000,4464.71,4511.00,4458.24,4499.05,126863.830
1756218600000,4499.05,4528.33,4497.72,4528.29,102108.176
1756219500000,4528.30,4558.39,4516.30,4550.31,152781.981
1756220400000,4550.31,4576.31,4540.00,4541.55,191092.215
1756221300000,4541.54,4564.87,4533.33,4534.99,107101.597
1756222200000,4535.00,4535.52,4501.09,4505.11,140356.738
1756223100000,4505.11,4524.00,4503.58,4516.17,66802.203
1756224000000,4516.16,4530.08,4494.19,4498.14,77974.721
1756224900000,4498.14,4518.25,4498.14,4516.39,54876.387
1756225800000,4516.39,4527.72,4507.88,4523.02,51600.125
1756226700000,4523.01,4554.14,4521.54,4552.00,97600.238
1756227600000,4552.01,4557.03,4520.70,4532.75,77514.229
1756228500000,4532.74,4549.18,4527.76,4540.79,49775.654
