runId,scenario,status,dataQuality,signals,submittedOrders,fills,closedTrades,wins,losses,winRate,profitFactor,grossPnl,feeCost,slippageCost,spreadCost,fundingCost,totalExecutionCost,netPnl,returnPct,maxDdPct,maxDdUsd,averageTrade,finalEquity,sharpe,stopStep,startTimestamp,endTimestamp,t152SameSideGuard,latency,funding,spreadData,slippageData,feesData,netPnlDelta,netPnlDeltaPct,tradeCountDelta,maxDdPctDelta
T153B-ZERO_COST-c55bffa5f9ef,ZERO_COST,COMPLETED,DQ-B — COMPARABLE_WITH_LIMITATIONS,NOT_INSTRUMENTED,211,211,211,87,124,41.23222748815166,1.4457602880253708,801.5199998420402,160.5025786116089,0,0,0,160.5025786116089,641.0174212304323,641.0174212304323,49.60236310274346,390.2394685039372,3.0379972570162668,741.0174212304323,NOT_SUPPORTED,57833,1770779700000,1786100400000,true,MISSING,MISSING,NOT_APPLICABLE,NOT_APPLICABLE,MODELED_CONFIGURED_RATE,0,0,0,0
T153B-LIGHT-3f4088401486,LIGHT,COMPLETED,DQ-B — COMPARABLE_WITH_LIMITATIONS,NOT_INSTRUMENTED,210,210,210,84,126,40,1.407111148866837,813.5145354459613,160.16714925732086,39.92469891236444,19.96234945618222,0,220.05419762586752,593.4603378200962,593.4603378200962,47.56247376759657,404.43161308494825,2.826001608667125,693.4603378200962,NOT_SUPPORTED,57833,1770779700000,1786100400000,true,MISSING,MISSING,ASSUMED,ASSUMED,MODELED_CONFIGURED_RATE,-47.55708341033608,-7.419000144964906,-1,-2.0398893351468885
T153B-CENTRAL-dafc22c2f1f1,CENTRAL,COMPLETED,DQ-B — COMPARABLE_WITH_LIMITATIONS,NOT_INSTRUMENTED,211,211,211,82,129,38.862559241706165,1.3018644097963348,742.0770354459611,161.06714925732086,80.33434587734034,40.16717293867017,0,281.56866807333137,460.50836737263205,460.50836737263205,56.4586700334848,418.6270592276059,2.182504110770768,560.508367372632,NOT_SUPPORTED,57833,1770779700000,1786100400000,true,MISSING,MISSING,ASSUMED,ASSUMED,MODELED_CONFIGURED_RATE,-180.50905385780027,-28.159773491227945,0,6.85630693074134
T153B-CONSERVATIVE-185c4312878a,CONSERVATIVE,COMPLETED,DQ-B — COMPARABLE_WITH_LIMITATIONS,NOT_INSTRUMENTED,80,80,80,31,49,38.75,0.8053578843214177,82.5807531003631,54.887672376196015,68.54058008337735,34.270290041688675,0,157.69854250126204,-75.11778940089927,-75.11778940089927,86.47596860012008,159.10294784501292,-0.9389723675112409,24.882210599100734,NOT_SUPPORTED,57833,1770779700000,1786100400000,true,MISSING,MISSING,ASSUMED,ASSUMED,MODELED_CONFIGURED_RATE,-716.1352106313316,-111.71852541179157,-131,36.87360549737662
